Date,WroclawToRent,WroclawToSell,GdanskToRent,GdanskToSell,WarszawaToRent,WarszawaToSell,KrakowToRent,KrakowToSell,PoznanToRent,PoznanToSell,LodzToRent,LodzToSell,TotalToRent,TotalToSell
30.04.2020,3941,1293,1513,550,8110,2882,4633,1388,2075,873,1549,1175,41664,27964
01.05.2020,3929,1275,1503,558,8115,2870,4670,1403,2087,886,1541,1178,41678,28071
02.05.2020,3925,1280,1485,555,8129,2839,4702,1412,2098,883,1550,1162,41646,27884
03.05.2020,3930,1275,1490,553,8114,2827,4690,1410,2101,880,1545,1160,41574,27724
04.05.2020,3974,1259,1489,554,8241,2890,4793,1387,2151,892,1567,1169,42299,28021
05.05.2020,4049,1359,1519,569,8459,2939,4914,1399,2241,924,1593,1212,43246,28797
06.05.2020,4067,1374,1530,571,8609,2962,4994,1402,2272,940,1621,1245,43787,29036
07.05.2020,4068,1386,1514,582,8724,2941,5043,1374,2280,954,1651,1253,44234,29165
08.05.2020,4109,1371,1522,585,8833,2952,5081,1410,2295,952,1674,1260,44584,29358
09.05.2020,4194,1558,1521,604,8903,3025,5119,1405,2315,959,1682,1288,44888,29809
10.05.2020,4170,1558,1513,613,8937,3015,5099,1411,2307,944,1667,1294,44874,29723
11.05.2020,4189,1552,1510,609,9054,3006,5154,1411,2315,937,1701,1284,45240,29717
12.05.2020,4261,1587,1543,616,9318,3119,5286,1410,2358,936,1753,1325,46278,30379
13.05.2020,4308,1665,1591,638,9548,3173,5416,1449,2408,965,1791,1351,47239,31183
14.05.2020,4347,1702,1597,633,9680,3241,5490,1470,2418,976,1792,1374,47678,31592
15.05.2020,4353,1707,1580,635,9733,3252,5546,1457,2424,989,1787,1352,47726,31573
16.05.2020,4386,1724,1574,626,9713,3238,5566,1433,2412,987,1780,1357,47689,31611
17.05.2020,4336,1687,1551,636,9679,3218,5506,1434,2405,1030,1776,1363,47370,31592
18.05.2020,4308,1661,1561,648,9730,3185,5517,1428,2433,1020,1786,1345,47598,31415
19.05.2020,4332,1683,1573,646,9851,3261,5579,1453,2456,1032,1817,1378,47996,31922
20.05.2020,4386,1703,1589,651,9892,3313,5561,1455,2472,1061,1852,1390,48235,32289
21.05.2020,4424,1772,1549,656,9902,3317,5529,1441,2449,1051,1855,1401,48279,32389
26.05.2020,4476,1850,1465,658,10151,3360,5661,1383,2517,1041,1862,1422,49084,32159
27.05.2020,4478,1893,1468,647,10243,3367,5694,1377,2518,1042,1848,1418,49320,32258
28.05.2020,4467,1929,1447,655,10304,3368,5740,1377,2525,1049,1859,1416,49446,32268
03.06.2020,4568,1986,1466,638,10585,3427,5818,1416,2546,1053,1886,1413,50491,32786
04.06.2020,4562,2004,1447,627,10601,3408,5882,1430,2532,1042,1910,1391,50573,32702
05.06.2020,4617,2012,1438,636,10612,3406,5863,1419,2561,1042,1920,1377,50569,32568
06.06.2020,4628,1998,1454,643,10599,3428,5882,1430,2571,1076,1938,1399,50652,32762
07.06.2020,4583,1982,1441,636,10554,3435,5837,1420,2561,1064,1944,1390,50381,32537
08.06.2020,4538,1832,1424,633,10597,3419,5854,1420,2565,1055,1965,1381,50478,32326
09.06.2020,4593,1868,1428,631,10783,3508,5961,1444,2636,1075,1981,1407,51279,32944
10.06.2020,4628,1899,1421,659,10811,3551,5975,1451,2626,1074,1975,1420,51437,33303
11.06.2020,4627,1988,1377,660,10719,3513,5931,1472,2577,1068,1958,1407,50966,33440
12.06.2020,4535,1934,1378,641,10627,3474,5895,1474,2581,1047,1934,1403,50528,33077
13.06.2020,4449,1911,1353,637,10573,3408,5867,1463,2573,1045,1925,1389,50250,32819
14.06.2020,4388,1889,1344,638,10459,3358,5763,1447,2538,1000,1891,1356,49630,32331
15.06.2020,4386,1869,1345,637,10498,3358,5744,1437,2534,993,1890,1367,49814,32090
16.06.2020,4469,1932,1356,662,10733,3415,5859,1469,2591,1016,1946,1406,50824,32796
17.06.2020,4523,1966,1357,678,10844,3461,5961,1509,2624,1019,1969,1424,51277,33319
18.06.2020,4499,1945,1359,679,10784,3398,5906,1489,2585,1041,1987,1415,51168,33220
19.06.2020,4455,1937,1317,678,10767,3381,5937,1503,2595,1034,1972,1454,51086,33154
20.06.2020,4392,1930,1305,686,10674,3330,5940,1524,2600,1042,1943,1424,50959,33122
21.06.2020,4354,1909,1275,657,10532,3306,5836,1492,2591,1036,1937,1422,50378,32746
22.06.2020,4349,1855,1277,653,10549,3294,5786,1466,2575,1029,1947,1410,50556,32456
23.06.2020,4402,1925,1290,660,10681,3334,5891,1469,2625,1059,1970,1420,51290,32980
07.07.2020,4347,1839,1187,667,10215,3206,5850,1539,2519,1022,1943,1318,49853,32280
08.07.2020,4402,1892,1199,695,10288,3259,5899,1583,2522,1040,1963,1359,50259,32796
09.07.2020,4386,1867,1202,690,10324,3242,5909,1603,2507,1051,1956,1368,50160,32598
10.07.2020,4359,1872,1205,682,10306,3252,5914,1632,2544,1063,1958,1366,50114,32652
11.07.2020,4359,1780,1191,675,10328,3251,5883,1597,2502,1063,1959,1345,49925,32429
12.07.2020,4339,1775,1192,680,10311,3261,5874,1584,2508,1051,1963,1324,49832,32391
13.07.2020,4349,1741,1219,680,10362,3244,5879,1573,2502,1048,1985,1317,49969,32300
14.07.2020,4449,1758,1246,672,10522,3314,6050,1596,2556,1075,2034,1376,50833,32899
15.07.2020,4458,1781,1266,672,10545,3338,6090,1612,2570,1079,2038,1395,51026,33315
16.07.2020,4407,1761,1253,656,10427,3332,6043,1625,2540,1070,2014,1389,50688,33102
17.07.2020,4390,1755,1260,636,10312,3310,5957,1615,2492,1059,2030,1377,50341,32902
18.07.2020,4366,1743,1258,630,10252,3282,5936,1628,2471,1041,2003,1354,50030,32676
19.07.2020,4335,1733,1242,610,10089,3241,5890,1600,2438,1036,1966,1313,49392,32124
21.07.2020,4381,1723,1274,621,10272,3308,5979,1566,2490,1020,1998,1310,50219,32491
22.07.2020,4323,1720,1271,641,10189,3296,5956,1557,2502,1022,2004,1293,49992,32614
23.07.2020,4288,1646,1286,652,10091,3282,5958,1577,2492,1009,1998,1304,49820,32310
28.07.2020,4251,1665,1304,635,9966,3208,5943,1551,2565,984,2026,1314,49683,32139
29.07.2020,4230,1668,1276,648,9933,3206,5933,1540,2551,986,2017,1327,49599,32245
30.07.2020,4312,1677,1264,646,9894,3221,5897,1539,2520,965,2016,1318,49379,31990
31.07.2020,4296,1671,1268,640,9777,3244,5834,1524,2504,970,2007,1304,48972,31857
01.08.2020,4230,1807,1249,635,9644,3260,5770,1524,2463,959,1980,1299,48246,31709
02.08.2020,4159,1794,1244,634,9474,3215,5673,1484,2455,927,1971,1291,47564,31198
03.08.2020,4197,1859,1271,627,9583,3238,5754,1496,2569,924,1996,1283,48273,31464
04.08.2020,4310,1884,1285,636,9820,3293,5857,1525,2675,950,2028,1297,49278,32082
05.08.2020,4343,1891,1292,627,9832,3255,5881,1548,2689,988,2032,1299,49517,32149
06.08.2020,4326,1867,1296,610,9769,3202,5937,1524,2678,977,2040,1282,49422,31864
07.08.2020,4321,1849,1327,598,9652,3212,5977,1503,2655,962,2042,1281,49224,31771
08.08.2020,4243,1886,1295,597,9496,3155,5887,1511,2626,963,2016,1278,48488,31514
09.08.2020,4206,1851,1307,595,9418,3089,5874,1479,2607,954,1985,1256,48235,30884
10.08.2020,4230,1856,1300,593,9566,3179,6007,1525,2671,960,2017,1275,48855,31188
11.08.2020,4307,1906,1349,600,9820,3229,6083,1572,2744,972,2075,1289,49767,31783
19.08.2020,4195,1852,1432,579,9591,3127,6049,1535,2731,973,2134,1217,49130,30782
20.08.2020,4221,1861,1464,584,9662,3130,6101,1546,2756,984,2119,1241,49384,31010
21.08.2020,4223,1897,1504,579,9763,3167,6163,1533,2740,988,2117,1276,49605,31162
22.08.2020,4206,1951,1512,583,9774,3287,6160,1554,2727,998,2134,1290,49523,31501
23.08.2020,4220,1952,1534,572,9683,3243,6147,1548,2733,984,2123,1290,49268,31222
24.08.2020,4254,1926,1576,566,9803,3226,6223,1520,2748,977,2149,1260,49917,30961
26.08.2020,4344,1977,1656,599,10334,3398,6491,1556,2867,1027,2323,1308,52112,32332
27.08.2020,4328,1965,1674,611,10387,3389,6559,1547,2865,1038,2332,1283,52336,32317
28.08.2020,4293,1978,1694,611,10410,3366,6600,1547,2830,1057,2341,1279,52435,32192
29.08.2020,4305,1990,1721,607,10419,3367,6612,1573,2840,1056,2332,1280,52269,32142
30.08.2020,4208,1997,1712,598,10315,3340,6620,1565,2852,1054,2340,1263,51910,31864
31.08.2020,4201,1809,1744,585,10384,3294,6634,1538,2903,1041,2340,1241,52286,31395
02.09.2020,4273,1808,1846,605,10943,3412,6867,1533,2976,1089,2407,1270,53909,32569
03.09.2020,4235,1805,1893,603,11010,3420,6927,1553,2973,1089,2422,1279,54047,32678
07.09.2020,4383,1794,1962,602,11196,3441,7049,1542,2990,1111,2466,1299,54454,32841
08.09.2020,4436,1820,1999,619,11401,3487,7167,1555,3055,1134,2514,1330,55240,33449
09.09.2020,4416,1889,1999,620,11392,3477,7169,1550,3026,1132,2518,1336,55001,33461
10.09.2020,4415,1900,2003,620,11393,3485,7179,1541,3039,1138,2501,1330,54984,33451
11.09.2020,4395,1885,2021,625,11407,3489,7139,1550,3010,1136,2501,1333,54880,33368
12.09.2020,4370,1897,2030,637,11382,3467,7171,1569,2992,1134,2482,1343,54801,33473
13.09.2020,4307,1984,2036,627,11246,3415,7092,1535,2968,1116,2441,1330,54293,33135
14.09.2020,4288,1965,2036,624,11183,3409,7075,1515,2962,1098,2457,1336,54249,33009
15.09.2020,4416,2049,2043,628,11393,3474,7234,1568,3050,1115,2520,1388,55300,33745
16.09.2020,4447,2094,2047,644,11452,3579,7294,1605,3064,1135,2502,1397,55563,34220
17.09.2020,4460,2067,2023,646,11448,3553,7279,1655,3048,1149,2473,1381,55324,34080
18.09.2020,4440,2059,1997,648,11467,3576,7246,1658,3029,1179,2482,1381,55126,34133
19.09.2020,4394,2019,1968,651,11394,3532,7202,1673,3015,1175,2475,1383,54844,34008
20.09.2020,4327,2004,1934,640,11209,3474,7077,1655,2987,1148,2433,1353,54108,33570
21.09.2020,4330,1958,1942,643,11239,3404,6998,1621,2990,1138,2467,1339,54257,33356
22.09.2020,4430,2015,1923,644,11418,3481,7100,1650,3032,1156,2486,1340,54936,33845
23.09.2020,4448,2067,1921,645,11465,3546,7151,1662,3029,1172,2448,1349,55109,34358
24.09.2020,4450,2069,1915,646,11478,3512,7122,1641,2987,1155,2427,1376,54919,34231
25.09.2020,4425,2058,1894,639,11468,3539,7030,1648,2955,1168,2438,1369,54747,34114
26.09.2020,4390,2050,1882,638,11426,3572,6965,1644,2931,1162,2455,1374,54385,33999
27.09.2020,4342,2001,1877,636,11352,3536,6902,1647,2945,1134,2452,1347,54043,33662
28.09.2020,4207,1575,1862,639,11380,3525,6861,1610,2931,1130,2465,1347,53934,33195
29.09.2020,4349,2025,1893,630,11508,3544,6909,1629,2965,1151,2464,1342,54572,34076
30.09.2020,4349,2052,1889,631,11479,3593,6941,1643,2954,1168,2455,1338,54501,34298
01.10.2020,4300,2059,1869,626,11308,3547,6855,1640,2896,1167,2447,1346,53876,34084
02.10.2020,4235,2046,1837,639,11118,3562,6779,1608,2844,1125,2442,1360,53105,33841
03.10.2020,4171,2089,1796,646,10996,3573,6712,1605,2772,1134,2390,1346,52251,33646
04.10.2020,4122,2044,1790,648,10867,3551,6601,1581,2739,1133,2363,1330,51607,33142
05.10.2020,4129,2014,1794,638,10873,3554,6597,1584,2728,1131,2368,1319,51686,33211
06.10.2020,4182,2068,1818,649,10993,3659,6635,1651,2722,1150,2382,1311,51916,33995
07.10.2020,4125,2055,1827,660,10879,3627,6622,1650,2701,1140,2368,1330,51497,33897
08.10.2020,4127,2057,1819,650,10806,3598,6594,1663,2635,1119,2367,1337,51139,33801
09.10.2020,4071,2018,1805,671,10730,3615,6564,1663,2618,1128,2333,1341,50624,33743
10.10.2020,4023,2077,1783,669,10560,3563,6509,1639,2588,1125,2271,1332,49990,33534
11.10.2020,4020,2095,1780,660,10483,3533,6486,1601,2583,1129,2260,1320,49741,33282
12.10.2020,4063,2036,1797,673,10642,3621,6539,1642,2629,1140,2287,1328,50301,33774
13.10.2020,4082,2048,1787,676,10699,3700,6573,1681,2642,1159,2273,1377,50532,34310
14.10.2020,3998,2029,1783,677,10638,3690,6510,1679,2613,1181,2233,1338,50191,34129
15.10.2020,3959,2024,1778,680,10561,3646,6500,1694,2590,1177,2207,1313,49861,33999
16.10.2020,3926,2021,1782,683,10449,3646,6429,1722,2570,1148,2138,1315,49335,33951
17.10.2020,3833,1996,1749,666,10302,3593,6340,1705,2558,1108,2115,1309,48758,33466
18.10.2020,3827,1993,1733,663,10303,3560,6278,1694,2542,1091,2100,1286,48566,33089
19.10.2020,3830,1988,1749,657,10320,3563,6261,1680,2525,1077,2098,1274,48645,33106
20.10.2020,3893,2055,1786,677,10459,3640,6367,1721,2574,1117,2115,1298,49203,33764
21.10.2020,3885,2111,1784,682,10373,3691,6417,1730,2570,1169,2115,1323,49064,33998
22.10.2020,3840,2121,1749,684,10176,3673,6306,1723,2552,1178,2108,1316,48405,33729
